"","Activity","Subject","Measurement","Triaxial","BodyMotionAcceleration","GravitationalAcceleration","GyroscopeVelocity"
"1","laying","1","mean","X",0.22159824394,-0.24888179828,-0.016553093978
"2","laying","1","mean","Y",-0.0405139534294,0.70554977346,-0.064486124088
"3","laying","1","mean","Z",-0.11320355358,0.4458177198,0.14868943626
"4","laying","1","std","X",-0.9280564692,-0.8968300184,-0.87354386782
"5","laying","1","std","Y",-0.83682740562,-0.90772000676,-0.9510904402
"6","laying","1","std","Z",-0.826061401628,-0.85236629022,-0.9082846626
"7","laying","2","mean","X",0.281373403958333,-0.509754238125,-0.01847660675
"8","laying","2","mean","Y",-0.0181587397583333,0.752536639375,-0.111800824583333
"9","laying","2","mean","Z",-0.107245610416667,0.646834879583333,0.144882846104167
"10","laying","2","std","X",-0.974059464791667,-0.959014441458333,-0.988275232916667
"11","laying","2","std","Y",-0.98027739875,-0.988211865208333,-0.982291608958333
"12","laying","2","std","Z",-0.984233296875,-0.984230418125,-0.960306560416667
"13","laying","3","mean","X",0.275516852741935,-0.241758478064516,-0.0208170540330645
"14","laying","3","mean","Y",-0.0189556785048387,0.837032099677419,-0.0718507159435484
"15","laying","3","mean","Z",-0.101300477506452,0.48870318516129,0.137999561112903
"16","laying","3","std","X",-0.982776639193548,-0.982512193064516,-0.974545752096774
"17","laying","3","std","Y",-0.962057544516129,-0.981202749677419,-0.977272653709677
"18","laying","3","std","Z",-0.96369103483871,-0.964807543870968,-0.963505609032258
"19","laying","4","mean","X",0.263559214981481,-0.420664662222222,-0.00923156347222222
"20","laying","4","mean","Y",-0.0150031841055556,0.915165104259259,-0.0930128180759259
"21","laying","4","mean","Z",-0.110688150314815,0.341531310555556,0.169720404092593
"22","laying","4","std","X",-0.954193738888889,-0.921199965925926,-0.973102422222222
"23","laying","4","std","Y",-0.941714042407407,-0.969816635740741,-0.961109291851852
"24","laying","4","std","Z",-0.962667314814815,-0.976176608888889,-0.962073755
